69, 1
186, 1
189, 6
192, 3
195, 1
201, 4
204, 3
207, 5
210, 4
213, 2
216, 14
219, 50
222, 20
225, 14
228, 1
231, 1
234, 231
237, 397
240, 230
243, 295
246, 96
249, 60
252, 71
255, 39
258, 28
261, 38
264, 33
267, 24
270, 23
273, 27
276, 9816
279, 23930
282, 9332
285, 33256
288, 14770
291, 62
294, 53
297, 180
300, 1476
303, 251
306, 42
309, 20
312, 20
315, 23
318, 38
321, 23
324, 25
327, 25
330, 15
333, 28
336, 13
339, 32
342, 18
345, 16
348, 22
351, 34
354, 25
357, 23
360, 28
363, 36
366, 30
369, 25
372, 22
375, 13
378, 11
381, 24
384, 28
387, 25
390, 27
393, 24
396, 27
399, 20
402, 26
405, 23
408, 9
411, 12
414, 25
417, 25
420, 31
423, 21
426, 18
429, 20
432, 22
435, 27
438, 13
441, 8
444, 12
447, 13
450, 15
453, 23
456, 29
459, 22
462, 15
465, 27
468, 17
471, 22
474, 8
477, 9
480, 18
483, 29
486, 17
489, 15
492, 8
495, 18
498, 20
501, 12
504, 16
507, 3
510, 2
513, 19
516, 20
519, 12
522, 12
525, 26
528, 5
531, 24
534, 17
537, 17
540, 4
543, 5
546, 15
549, 18
552, 7
555, 24
558, 18
561, 20
564, 16
567, 17
570, 23
573, 7
576, 5
579, 14
582, 31
585, 15
588, 13
591, 26
594, 23
597, 18
600, 23
603, 14
606, 7
609, 8
612, 23
615, 24
618, 15
621, 17
624, 22
627, 22
630, 9
633, 18
636, 19
639, 6
642, 5
645, 10
648, 15
651, 16
654, 24
657, 20
660, 20
663, 13
666, 21
669, 19
672, 9
675, 4
678, 20
681, 18
684, 22
687, 14
690, 19
693, 20
696, 17
699, 18
702, 26
705, 5
708, 3
711, 11
714, 21
717, 23
720, 18
723, 8
726, 17
729, 16
732, 18
735, 8
738, 6
741, 8
744, 27
747, 18
750, 11
753, 18
756, 11
759, 20
762, 14
765, 17
768, 14
771, 3
774, 6
777, 11
780, 25
783, 21
786, 10
789, 21
792, 28
795, 9
798, 18
801, 17
804, 5
807, 12
810, 12
813, 22
816, 19
819, 23
822, 17
825, 13
828, 22
831, 10
834, 11
837, 10
840, 2
843, 15
846, 16
849, 17
852, 14
855, 15
858, 24
861, 12
864, 7
867, 16
870, 8
873, 10
876, 14
879, 17
882, 16
885, 13
888, 12
891, 13
894, 13
897, 17
900, 18
903, 5
906, 3
909, 19
912, 25
915, 23
918, 23
921, 23
924, 15
927, 13
930, 17
933, 20
936, 8
939, 10
942, 23
945, 18
948, 16
951, 19
954, 17
957, 13
960, 14
963, 21
966, 13
969, 8
972, 2
975, 23
978, 27
981, 17
984, 18
987, 28
990, 20
993, 18
996, 13
999, 16
